2025-07-28 19:36:32 | INFO     | anti_link.database | init_db:118 | 【反惡意連結】資料庫初始化完成
2025-07-28 19:36:32 | INFO     | anti_link | _refresh_blacklist:315 | 【反惡意連結】開始更新威脅情資...
2025-07-28 19:36:33 | INFO     | anti_link.database | update_blacklist_cache:225 | 【反惡意連結】更新黑名單快取: 442 個網域來自 URLHaus
2025-07-28 19:36:33 | INFO     | anti_link | _refresh_blacklist:333 | 【反惡意連結】更新 URLHaus: 442 個網域
2025-07-28 19:36:35 | INFO     | anti_link.database | update_blacklist_cache:225 | 【反惡意連結】更新黑名單快取: 289 個網域來自 OpenPhish
2025-07-28 19:36:35 | INFO     | anti_link | _refresh_blacklist:333 | 【反惡意連結】更新 OpenPhish: 289 個網域
2025-07-28 19:36:35 | INFO     | anti_link | _refresh_blacklist:342 | 【反惡意連結】威脅情資更新完成: 總計 740 個惡意網域
2025-07-28 19:36:35 | INFO     | anti_link | cog_load:78 | 【反惡意連結】模組載入完成
2025-07-28 19:36:38 | INFO     | anti_link | _refresh_blacklist:315 | 【反惡意連結】開始更新威脅情資...
2025-07-28 19:36:39 | INFO     | anti_link.database | update_blacklist_cache:225 | 【反惡意連結】更新黑名單快取: 442 個網域來自 URLHaus
2025-07-28 19:36:39 | INFO     | anti_link | _refresh_blacklist:333 | 【反惡意連結】更新 URLHaus: 442 個網域
2025-07-28 19:36:40 | INFO     | anti_link.database | update_blacklist_cache:225 | 【反惡意連結】更新黑名單快取: 289 個網域來自 OpenPhish
2025-07-28 19:36:40 | INFO     | anti_link | _refresh_blacklist:333 | 【反惡意連結】更新 OpenPhish: 289 個網域
2025-07-28 19:36:40 | INFO     | anti_link | _refresh_blacklist:342 | 【反惡意連結】威脅情資更新完成: 總計 740 個惡意網域
2025-07-28 19:36:40 | INFO     | anti_link.database | cleanup_blacklist_cache:278 | 【反惡意連結】清理黑名單快取: 刪除 0 個過期項目
2025-07-28 19:36:40 | INFO     | anti_link.database | cleanup_action_logs:446 | 【反惡意連結】清理操作日誌: 刪除 0 個過期項目
2025-07-28 19:39:06 | INFO     | anti_link.database | init_db:118 | 【反惡意連結】資料庫初始化完成
2025-07-28 19:39:06 | INFO     | anti_link | _refresh_blacklist:315 | 【反惡意連結】開始更新威脅情資...
2025-07-28 19:39:07 | INFO     | anti_link.database | update_blacklist_cache:225 | 【反惡意連結】更新黑名單快取: 442 個網域來自 URLHaus
2025-07-28 19:39:07 | INFO     | anti_link | _refresh_blacklist:333 | 【反惡意連結】更新 URLHaus: 442 個網域
2025-07-28 19:39:08 | INFO     | anti_link.database | update_blacklist_cache:225 | 【反惡意連結】更新黑名單快取: 289 個網域來自 OpenPhish
2025-07-28 19:39:08 | INFO     | anti_link | _refresh_blacklist:333 | 【反惡意連結】更新 OpenPhish: 289 個網域
2025-07-28 19:39:08 | INFO     | anti_link | _refresh_blacklist:342 | 【反惡意連結】威脅情資更新完成: 總計 740 個惡意網域
2025-07-28 19:39:08 | INFO     | anti_link | cog_load:78 | 【反惡意連結】模組載入完成
2025-07-28 19:39:12 | INFO     | anti_link | _refresh_blacklist:315 | 【反惡意連結】開始更新威脅情資...
2025-07-28 19:39:12 | INFO     | anti_link.database | update_blacklist_cache:225 | 【反惡意連結】更新黑名單快取: 442 個網域來自 URLHaus
2025-07-28 19:39:12 | INFO     | anti_link | _refresh_blacklist:333 | 【反惡意連結】更新 URLHaus: 442 個網域
2025-07-28 19:39:14 | INFO     | anti_link.database | update_blacklist_cache:225 | 【反惡意連結】更新黑名單快取: 289 個網域來自 OpenPhish
2025-07-28 19:39:14 | INFO     | anti_link | _refresh_blacklist:333 | 【反惡意連結】更新 OpenPhish: 289 個網域
2025-07-28 19:39:14 | INFO     | anti_link | _refresh_blacklist:342 | 【反惡意連結】威脅情資更新完成: 總計 740 個惡意網域
2025-07-28 19:39:14 | INFO     | anti_link.database | cleanup_blacklist_cache:278 | 【反惡意連結】清理黑名單快取: 刪除 0 個過期項目
2025-07-28 19:39:14 | INFO     | anti_link.database | cleanup_action_logs:446 | 【反惡意連結】清理操作日誌: 刪除 0 個過期項目
2025-07-28 19:40:57 | INFO     | anti_link.database | init_db:118 | 【反惡意連結】資料庫初始化完成
2025-07-28 19:40:57 | INFO     | anti_link | _refresh_blacklist:315 | 【反惡意連結】開始更新威脅情資...
2025-07-28 19:40:58 | INFO     | anti_link.database | update_blacklist_cache:225 | 【反惡意連結】更新黑名單快取: 443 個網域來自 URLHaus
2025-07-28 19:40:58 | INFO     | anti_link | _refresh_blacklist:333 | 【反惡意連結】更新 URLHaus: 443 個網域
2025-07-28 19:40:59 | INFO     | anti_link.database | update_blacklist_cache:225 | 【反惡意連結】更新黑名單快取: 289 個網域來自 OpenPhish
2025-07-28 19:40:59 | INFO     | anti_link | _refresh_blacklist:333 | 【反惡意連結】更新 OpenPhish: 289 個網域
2025-07-28 19:40:59 | INFO     | anti_link | _refresh_blacklist:342 | 【反惡意連結】威脅情資更新完成: 總計 741 個惡意網域
2025-07-28 19:40:59 | INFO     | anti_link | cog_load:78 | 【反惡意連結】模組載入完成
2025-07-28 19:41:03 | INFO     | anti_link | _refresh_blacklist:315 | 【反惡意連結】開始更新威脅情資...
2025-07-28 19:41:03 | INFO     | anti_link.database | update_blacklist_cache:225 | 【反惡意連結】更新黑名單快取: 443 個網域來自 URLHaus
2025-07-28 19:41:03 | INFO     | anti_link | _refresh_blacklist:333 | 【反惡意連結】更新 URLHaus: 443 個網域
2025-07-28 19:41:04 | INFO     | anti_link.database | update_blacklist_cache:225 | 【反惡意連結】更新黑名單快取: 289 個網域來自 OpenPhish
2025-07-28 19:41:04 | INFO     | anti_link | _refresh_blacklist:333 | 【反惡意連結】更新 OpenPhish: 289 個網域
2025-07-28 19:41:04 | INFO     | anti_link | _refresh_blacklist:342 | 【反惡意連結】威脅情資更新完成: 總計 741 個惡意網域
2025-07-28 19:41:04 | INFO     | anti_link.database | cleanup_blacklist_cache:278 | 【反惡意連結】清理黑名單快取: 刪除 0 個過期項目
2025-07-28 19:41:04 | INFO     | anti_link.database | cleanup_action_logs:446 | 【反惡意連結】清理操作日誌: 刪除 0 個過期項目
2025-07-28 19:41:31 | INFO     | anti_link.database | init_db:118 | 【反惡意連結】資料庫初始化完成
2025-07-28 19:41:31 | INFO     | anti_link | _refresh_blacklist:315 | 【反惡意連結】開始更新威脅情資...
2025-07-28 19:41:32 | INFO     | anti_link.database | update_blacklist_cache:225 | 【反惡意連結】更新黑名單快取: 443 個網域來自 URLHaus
2025-07-28 19:41:32 | INFO     | anti_link | _refresh_blacklist:333 | 【反惡意連結】更新 URLHaus: 443 個網域
2025-07-28 19:41:33 | INFO     | anti_link.database | update_blacklist_cache:225 | 【反惡意連結】更新黑名單快取: 289 個網域來自 OpenPhish
2025-07-28 19:41:33 | INFO     | anti_link | _refresh_blacklist:333 | 【反惡意連結】更新 OpenPhish: 289 個網域
2025-07-28 19:41:33 | INFO     | anti_link | _refresh_blacklist:342 | 【反惡意連結】威脅情資更新完成: 總計 741 個惡意網域
2025-07-28 19:41:33 | INFO     | anti_link | cog_load:78 | 【反惡意連結】模組載入完成
2025-07-28 19:41:36 | INFO     | anti_link | _refresh_blacklist:315 | 【反惡意連結】開始更新威脅情資...
2025-07-28 19:41:36 | INFO     | anti_link.database | update_blacklist_cache:225 | 【反惡意連結】更新黑名單快取: 443 個網域來自 URLHaus
2025-07-28 19:41:36 | INFO     | anti_link | _refresh_blacklist:333 | 【反惡意連結】更新 URLHaus: 443 個網域
2025-07-28 19:41:37 | INFO     | anti_link.database | update_blacklist_cache:225 | 【反惡意連結】更新黑名單快取: 289 個網域來自 OpenPhish
2025-07-28 19:41:37 | INFO     | anti_link | _refresh_blacklist:333 | 【反惡意連結】更新 OpenPhish: 289 個網域
2025-07-28 19:41:37 | INFO     | anti_link | _refresh_blacklist:342 | 【反惡意連結】威脅情資更新完成: 總計 741 個惡意網域
2025-07-28 19:41:37 | INFO     | anti_link.database | cleanup_blacklist_cache:278 | 【反惡意連結】清理黑名單快取: 刪除 0 個過期項目
2025-07-28 19:41:37 | INFO     | anti_link.database | cleanup_action_logs:446 | 【反惡意連結】清理操作日誌: 刪除 0 個過期項目
