2025-07-28 19:36:31 | INFO     | welcome.services | __init__:24 | 歡迎系統服務註冊器初始化完成
2025-07-28 19:36:31 | INFO     | welcome.config | __init__:38 | 歡迎系統配置初始化完成: background_dir=C:\Users\sunny\AppData\Roaming\DiscordADRBot\data\backgrounds, cache_timeout=3600, max_cache_size=50
2025-07-28 19:36:31 | INFO     | welcome.config | __init__:38 | 歡迎系統配置初始化完成: background_dir=C:\Users\sunny\AppData\Roaming\DiscordADRBot\data\backgrounds, cache_timeout=3600, max_cache_size=50
2025-07-28 19:36:31 | INFO     | welcome.services | register_all_services:34 | 所有歡迎系統服務註冊完成
2025-07-28 19:36:31 | INFO     | welcome.services | register_welcome_services:108 | 歡迎系統所有服務註冊完成
2025-07-28 19:36:31 | INFO     | welcome | __init__:101 | 歡迎系統 Cog 創建完成,等待初始化
2025-07-28 19:36:31 | INFO     | welcome | initialize:111 | 開始初始化歡迎系統...
2025-07-28 19:36:31 | INFO     | welcome | initialize:114 | 正在獲取依賴注入容器...
2025-07-28 19:36:31 | INFO     | welcome | initialize:116 | 依賴注入容器獲取成功
2025-07-28 19:36:31 | INFO     | welcome | initialize:119 | 正在解析 IWelcomeDatabase...
2025-07-28 19:36:31 | INFO     | welcome | initialize:121 | IWelcomeDatabase 解析成功
2025-07-28 19:36:31 | INFO     | welcome | initialize:123 | 正在解析 IWelcomeRenderer...
2025-07-28 19:36:31 | INFO     | welcome | initialize:125 | IWelcomeRenderer 解析成功
2025-07-28 19:36:31 | INFO     | welcome | initialize:127 | 正在解析 IWelcomeCache...
2025-07-28 19:36:31 | INFO     | welcome | initialize:129 | IWelcomeCache 解析成功
2025-07-28 19:36:31 | INFO     | welcome | initialize:131 | 正在解析 IWelcomeConfig...
2025-07-28 19:36:31 | INFO     | welcome.config | __init__:38 | 歡迎系統配置初始化完成: background_dir=C:\Users\sunny\AppData\Roaming\DiscordADRBot\data\backgrounds, cache_timeout=3600, max_cache_size=50
2025-07-28 19:36:31 | INFO     | welcome | initialize:133 | IWelcomeConfig 解析成功
2025-07-28 19:36:31 | INFO     | welcome | initialize:136 | 正在創建背景圖片目錄...
2025-07-28 19:36:31 | INFO     | welcome | initialize:138 | 背景圖片目錄創建成功
2025-07-28 19:36:31 | INFO     | welcome | initialize:141 | 歡迎系統依賴注入初始化完成
2025-07-28 19:36:31 | INFO     | welcome | setup:37 | 歡迎系統 Cog 設置完成
2025-07-28 19:39:06 | INFO     | welcome.services | __init__:24 | 歡迎系統服務註冊器初始化完成
2025-07-28 19:39:06 | INFO     | welcome.config | __init__:38 | 歡迎系統配置初始化完成: background_dir=C:\Users\sunny\AppData\Roaming\DiscordADRBot\data\backgrounds, cache_timeout=3600, max_cache_size=50
2025-07-28 19:39:06 | INFO     | welcome.config | __init__:38 | 歡迎系統配置初始化完成: background_dir=C:\Users\sunny\AppData\Roaming\DiscordADRBot\data\backgrounds, cache_timeout=3600, max_cache_size=50
